"","Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
"1",2010-01-04,79.63,81.79,79.63,81.51,NA,81.51,263542,290352
"2",2010-01-05,81.77,81.77,81.77,81.77,NA,81.77,258887,280580
"3",2010-01-06,81.43,83.52,80.85,83.18,NA,83.18,370059,275043
"4",2010-01-07,83.2,83.36,82.26,82.66,NA,82.66,246632,262309
"5",2010-01-08,82.65,83.47,81.8,82.75,NA,82.75,310377,250371
"6",2010-01-11,82.88,83.95,81.96,82.52,NA,82.52,296304,226210
"7",2010-01-12,82.07,82.34,79.91,80.79,NA,80.79,333866,189671
"8",2010-01-13,80.06,80.67,78.37,79.65,NA,79.65,401627,140073
"9",2010-01-14,79.63,80.36,78.92,79.39,NA,79.39,401627,140073
"10",2010-01-15,79.2,79.31,77.7,78,NA,78,200555,68799
"11",2010-01-19,77.85,79.15,76.76,79.02,NA,79.02,186882,25198
"12",2010-01-20,78.88,79.03,76.96,77.62,NA,77.62,186882,25198
"13",2010-01-21,77.56,78.36,75.66,76.08,NA,76.08,327417,366538
"14",2010-01-22,75.84,76.5,74.01,74.54,NA,74.54,348819,358151
"15",2010-01-25,74.24,75.42,74.06,75.26,NA,75.26,280559,359909
"16",2010-01-26,75.28,75.39,73.82,74.71,NA,74.71,256207,352878
"17",2010-01-27,74.69,75.09,72.65,73.67,NA,73.67,356179,346799
"18",2010-01-28,73.75,74.49,72.93,73.64,NA,73.64,292911,341430
"19",2010-01-29,73.89,74.82,72.43,72.89,NA,72.89,335270,342928
"20",2010-02-01,72.84,74.99,72.49,74.43,NA,74.43,277411,338307
"21",2010-02-02,74.94,77.41,74.4,77.23,NA,77.23,366269,343139
"22",2010-02-03,76.99,78.04,76.52,76.98,NA,76.98,391294,329819
"23",2010-02-04,77.09,77.17,72.42,73.14,NA,73.14,523892,311435
"24",2010-02-05,73.04,73.94,69.5,71.19,NA,71.19,596142,287290
"25",2010-02-08,72.18,72.39,70.77,71.89,NA,71.89,345638,259192
"26",2010-02-09,71.68,74.15,71.32,73.75,NA,73.75,429845,222137
"27",2010-02-10,73.79,74.97,72.6,74.52,NA,74.52,422057,185178
"28",2010-02-11,74.65,75.69,73.38,75.28,NA,75.28,422057,185178
"29",2010-02-12,75.3,75.35,72.66,74.13,NA,74.13,335805,132577
"30",2010-02-16,74.02,77.42,73.71,77.01,NA,77.01,365032,97039
"31",2010-02-17,77.32,77.82,76.53,77.33,NA,77.33,283816,80257
"32",2010-02-18,77.29,79.29,76.32,79.06,NA,79.06,274169,53120
"33",2010-02-19,78.37,80.1,77.76,79.81,NA,79.81,183234,27761
"34",2010-02-22,80,80.25,80,80.16,NA,80.16,183234,27761
"35",2010-02-23,80.25,80.25,78.86,78.86,NA,78.86,316878,269101
"36",2010-02-24,79.13,80.45,78.25,80,NA,80,289321,276051
"37",2010-02-25,80.31,80.32,77.05,78.17,NA,78.17,346025,268707
"38",2010-02-26,78.33,80.05,77.82,79.66,NA,79.66,319038,259774
"39",2010-03-01,79.84,80.62,78.06,78.7,NA,78.7,298718,256275
"40",2010-03-02,78.88,80.95,78.26,79.68,NA,79.68,301698,255628
