"","date","future expiration","adjusted close","expiration","strike","call/put","ask","bid","settlement price","ttm"
"1",2011-06-20,2011-07-20,93.5,2011-06-30,93.5,"P","N/A","N/A",0,10
"2",2011-06-20,2011-07-20,93.5,2011-06-30,93.5,"C","N/A","N/A",3.02,10
"3",2011-06-21,2011-07-20,94,2011-06-30,94,"P","N/A","N/A",0.02,9
"4",2011-06-21,2011-07-20,94,2011-06-30,94,"C","N/A","N/A",2.67,9
"5",2011-06-22,2011-07-20,95.5,2011-06-30,95.5,"P","N/A","N/A",0,8
"6",2011-06-22,2011-07-20,95.5,2011-06-30,95.5,"C","N/A","N/A",1.58,8
"7",2011-06-23,2011-07-20,91,2011-06-30,91,"P","N/A","N/A",0.01,7
"8",2011-06-23,2011-07-20,91,2011-06-30,91,"C","N/A","N/A",4.85,7
"9",2011-06-24,2011-07-20,91,2011-06-30,91,"P","N/A","N/A",0.01,6
"10",2011-06-24,2011-07-20,91,2011-06-30,91,"C","N/A","N/A",4.88,6
"11",2011-06-27,2011-07-20,90.5,2011-06-30,90.5,"P","N/A","N/A",0.01,3
"12",2011-06-27,2011-07-20,90.5,2011-06-30,90.5,"C","N/A","N/A",5.28,3
"13",2011-06-28,2011-07-20,93,2011-06-30,93,"P","N/A","N/A",0.01,2
"14",2011-06-28,2011-07-20,93,2011-06-30,93,"C","N/A","N/A",3.09,2
"15",2011-06-29,2011-07-20,95,2011-06-30,95,"P","N/A","N/A",0.01,1
"16",2011-06-29,2011-07-20,95,2011-06-30,95,"C","N/A","N/A",1.26,1
"17",2011-06-30,2011-07-20,95.5,2011-07-15,95.5,"P","N/A","N/A",2.21,15
"18",2011-06-30,2011-07-20,95.5,2011-07-15,95.5,"P","N/A","N/A",2.21,15
"19",2011-06-30,2011-07-20,95.5,2011-07-15,95.5,"C","N/A","N/A",2.13,15
"20",2011-06-30,2011-07-20,95.5,2011-07-15,95.5,"C","N/A","N/A",2.13,15
"21",2011-06-30,2011-07-20,95.5,2011-06-30,95.5,"P","N/A","N/A",0,0
"22",2011-06-30,2011-07-20,95.5,2011-06-30,95.5,"C","N/A","N/A",0.79,0
