"","X","date","future.expiration","adjusted.close","sentiment","rets","d_sent","forecast","signal20","signal10"
"1008",1,"2010-01-04","2010-10-20",85.59,-0.0506289119450787,0.0224489578487361,-0.0230997944060001,NA,0,0
"1009",2,"2010-01-05","2010-10-20",86.15,-0.0472665354092801,0.00652150908041982,0.0033623765357986,NA,0,0
"1010",3,"2010-01-06","2010-10-20",87.53,-0.0436398781464741,0.0158916287704081,0.003626657262806,NA,0,0
"1011",4,"2010-01-07","2010-10-20",86.9,-0.0427713299449941,-0.00722355947300013,0.000868548201479996,NA,0,0
"1012",5,"2010-01-08","2010-10-20",87.31,-0.0424409829647979,0.00470697155136968,0.000330346980196197,NA,0,0
"1013",6,"2010-01-11","2010-10-20",87.06,-0.0498094912442752,-0.0028674676985645,-0.0073685082794773,NA,0,0
"1014",7,"2010-01-12","2010-10-20",85.29,-0.0464539821981214,-0.020540321793133,0.0033555090461538,NA,0,0
"1015",8,"2010-01-13","2010-10-20",84.32,-0.0441750318517356,-0.0114381295379662,0.0022789503463858,NA,0,0
"1016",9,"2010-01-14","2010-10-20",84.35,-0.0417364044657845,0.000355724198924712,0.0024386273859511,NA,0,0
"1017",10,"2010-01-15","2010-10-20",82.91,-0.0428627580083353,-0.01721912686385,-0.0011263535425508,NA,0,0
"1018",11,"2010-01-19","2010-10-20",83.57,-0.0424013636650012,0.00792892188521765,0.000461394343334101,NA,0,0
"1019",12,"2010-01-20","2010-10-20",82.18,-0.0398401168225119,-0.0167726405580808,0.0025612468424893,NA,0,0
"1020",13,"2010-01-21","2010-10-20",80.42,-0.0374428597967706,-0.0216490619861363,0.0023972570257413,NA,0,0
"1021",14,"2010-01-22","2010-10-20",78.7,-0.0355641070224722,-0.0216197460457703,0.0018787527742984,NA,0,0
"1022",15,"2010-01-25","2010-10-20",79.51,-0.0443704674520038,0.010239644490035,-0.0088063604295316,NA,0,0
"1023",16,"2010-01-26","2010-10-20",78.83,-0.0431074732411795,-0.00858916484157568,0.0012629942108243,NA,0,0
"1024",17,"2010-01-27","2010-10-20",77.84,-0.0418478801193072,-0.0126381971940672,0.0012595931218723,NA,0,0
"1025",18,"2010-01-28","2010-10-20",77.6,-0.0402645800786675,-0.00308801068857623,0.0015833000406397,NA,0,0
"1026",19,"2010-01-29","2010-10-20",77.03,-0.0409177064391243,-0.00737247082429882,-0.0006531263604568,NA,0,0
"1027",20,"2010-02-01","2010-10-20",78.58,-0.0516578584057594,0.0199222577654394,-0.0107401519666351,NA,0,0
"1028",21,"2010-02-02","2010-10-20",81.25,-0.0477216369569978,0.0334136070795328,0.0039362214487616,NA,0,0
"1029",22,"2010-02-03","2010-10-20",81.05,-0.0437477588569606,-0.00246457302816161,0.0039738781000372,NA,0,0
"1030",23,"2010-02-04","2010-10-20",77.26,-0.0420589155930289,-0.0478898909435497,0.0016888432639317,NA,0,0
"1031",24,"2010-02-05","2010-10-20",74.81,-0.0432000243997647,-0.0322247913538218,-0.0011411088067358,NA,0,0
"1032",25,"2010-02-08","2010-10-20",75.54,-0.0543910036228826,0.00971075139999744,-0.0111909792231179,NA,0,0
"1033",26,"2010-02-09","2010-10-20",77.58,-0.0531503422910704,0.0266473447275102,0.0012406613318122,NA,0,0
"1034",27,"2010-02-10","2010-10-20",77.97,-0.0489224999963128,0.00501447530968768,0.0042278422947576,NA,0,0
"1035",28,"2010-02-11","2010-10-20",78.84,-0.0434536898188481,0.0110963449630104,0.0054688101774647,NA,0,0
"1036",29,"2010-02-12","2010-10-20",77.82,-0.0448532080034744,-0.0130220147281115,-0.0013995181846263,NA,0,0
"1037",30,"2010-02-16","2010-10-20",80.51,-0.0482610022486047,0.0339829327554817,-0.0034077942451303,NA,0,0
"1038",31,"2010-02-17","2010-10-20",80.68,-0.044167855944837,0.00210931277412207,0.0040931463037677,NA,0,0
"1039",32,"2010-02-18","2010-10-20",82.02,-0.0401875682321481,0.0164724068779014,0.0039802877126889,NA,0,0
"1040",33,"2010-02-19","2010-10-20",82.33,-0.0367588269098822,0.00377244134642218,0.0034287413222659,NA,0,0
"1041",34,"2010-02-22","2010-10-20",82.7,-0.0250230682075309,0.0044840407193103,0.0117357587023513,NA,0,0
"1042",35,"2010-02-23","2010-10-20",81.42,-0.0238046278470544,-0.0155986589548123,0.0012184403604765,NA,0,0
"1043",36,"2010-02-24","2010-10-20",82.32,-0.0229609522559099,0.0109931484509609,0.0008436755911445,NA,0,0
"1044",37,"2010-02-25","2010-10-20",80.48,-0.0218695189064359,-0.0226053851743648,0.001091433349474,NA,0,0
"1045",38,"2010-02-26","2010-10-20",81.85,-0.0175752598254156,0.0168795974657145,0.0042942590810203,NA,0,0
"1046",39,"2010-03-01","2010-10-20",81.05,-0.0188493736314621,-0.00982205563545868,-0.0012741138060465,NA,0,0
"1047",40,"2010-03-02","2010-10-20",81.92,-0.0142728978410534,0.0106769131095126,0.0045764757904087,NA,0,0
"1048",41,"2010-03-03","2010-10-20",83.08,-0.0152524563259833,0.0140608377167144,-0.0009795584849299,NA,0,0
"1049",42,"2010-03-04","2010-10-20",82.77,-0.0161539152001923,-0.00373832211060776,-0.000901458874209001,NA,0,0
"1050",43,"2010-03-05","2010-10-20",84.06,-0.00976832113445468,0.015465152679667,0.00638559406573762,NA,0,0
"1051",44,"2010-03-08","2010-10-20",84.54,0.0108027142600854,0.00569396556167323,0.0205710353945401,NA,0,0
"1052",45,"2010-03-09","2010-10-20",84.08,0.0116193437387282,-0.00545606856994851,0.0008166294786428,NA,0,0
"1053",46,"2010-03-10","2010-10-20",84.4,0.0118847493772693,0.00379867503321574,0.000265405638541098,NA,0,0
"1054",47,"2010-03-11","2010-10-20",84.48,0.013909204159132,0.00094741835603962,0.0020244547818627,NA,0,0
"1055",48,"2010-03-12","2010-10-20",83.39,0.0149340303516201,-0.0129864218590567,0.0010248261924881,NA,0,0
"1056",49,"2010-03-15","2010-10-20",81.9,0.0156792435744452,-0.0180294072398706,0.000745213222825098,NA,0,0
"1057",50,"2010-03-16","2010-10-20",83.54,0.0166376246687173,0.0198265682100054,0.000958381094272102,NA,0,0
"1058",51,"2010-03-17","2010-10-20",84.68,0.0162903824068368,0.0135538871976353,-0.000347242261880501,NA,0,0
"1059",52,"2010-03-18","2010-10-20",84.35,0.018617603046726,-0.00390463727468759,0.0023272206398892,NA,0,0
"1060",53,"2010-03-19","2010-10-20",82.8,0.0184757766336653,-0.0185467476007632,-0.000141826413060701,NA,0,0
"1061",54,"2010-03-22","2010-10-20",83.46,0.0261417272580683,0.00793941377219287,0.007665950624403,NA,0,0
"1062",55,"2010-03-23","2010-10-20",83.63,0.0280554696485282,0.00203483223002809,0.0019137423904599,NA,0,0
"1063",56,"2010-03-24","2010-10-20",82.53,0.0277233350422305,-0.0132404437888418,-0.000332134606297701,NA,0,0
"1064",57,"2010-03-25","2010-10-20",82.53,0.0279844875606635,0,0.000261152518433002,NA,0,0
"1065",58,"2010-03-26","2010-10-20",82,0.0262511222846889,-0.00644261634033949,-0.0017333652759746,NA,0,0
"1066",59,"2010-03-29","2010-10-20",83.87,0.0405157336930202,0.0225487337320667,0.0142646114083313,NA,0,0
"1067",60,"2010-03-30","2010-10-20",84.01,0.0356052917022429,0.00166785838043548,-0.0049104419907773,NA,0,0
"1068",61,"2010-03-31","2010-10-20",85.34,0.03798453931954,0.0157074383830986,0.0023792476172971,NA,0,0
"1069",62,"2010-04-01","2010-10-20",86.67,0.0419609195189508,0.0154645253863999,0.0039763801994108,NA,0,0
"1070",63,"2010-04-05","2010-10-20",88.53,0.025200172790708,0.0212336744767034,-0.0167607467282428,NA,0,0
"1071",64,"2010-04-06","2010-10-20",89.01,0.025509800715875,0.00540724534788239,0.000309627925167002,NA,0,0
"1072",65,"2010-04-07","2010-10-20",88.58,0.0269805892078613,-0.00484262447578754,0.0014707884919863,NA,0,0
"1073",66,"2010-04-08","2010-10-20",88.34,0.0261975128711649,-0.00271309232667161,-0.000783076336696401,NA,0,0
"1074",67,"2010-04-09","2010-10-20",88.48,0.0266911497105023,0.00158353160564406,0.0004936368393374,NA,0,0
"1075",68,"2010-04-12","2010-10-20",88.63,0.0267673018544213,0.00169386297628193,7.61521439190012e-05,NA,0,0
"1076",69,"2010-04-13","2010-10-20",88.08,0.0276646930348717,-0.00622490833588252,0.000897391180450399,NA,0,0
"1077",70,"2010-04-14","2010-10-20",89.43,0.0291382276731311,0.0152107039436657,0.0014735346382594,NA,0,0
"1078",71,"2010-04-15","2010-10-20",90.18,0.0328054150751471,0.00835147663484825,0.003667187402016,NA,0,0
"1079",72,"2010-04-16","2010-10-20",88.67,0.0338681958207084,-0.0168860596010223,0.0010627807455613,NA,0,0
"1080",73,"2010-04-19","2010-10-20",87.13,0.026426536478019,-0.0175203571487206,-0.0074416593426894,NA,0,0
"1081",74,"2010-04-20","2010-10-20",87.69,0.0277764353574656,0.00640661154806921,0.0013498988794466,NA,0,0
"1082",75,"2010-04-21","2010-10-20",88.57,0.0246039373846363,0.00998533203022678,-0.0031724979728293,NA,0,0
"1083",76,"2010-04-22","2010-10-20",88.71,0.0260955138450994,0.00157942271100442,0.0014915764604631,NA,0,0
"1084",77,"2010-04-23","2010-10-20",90.07,0.0246084122101557,0.0152145232631558,-0.0014871016349437,NA,0,0
"1085",78,"2010-04-26","2010-10-20",89.92,0.0297810362472699,-0.00166675965027085,0.0051726240371142,NA,0,0
"1086",79,"2010-04-27","2010-10-20",88.97,0.028405388671391,-0.0106211518887047,-0.0013756475758789,NA,0,0
"1087",80,"2010-04-28","2010-10-20",89.33,0.0268619465058207,0.00403814345707154,-0.0015434421655703,NA,0,0
