"","date","symbol","option.root.symbol","future.symbol","exchange","future.expiration","adjusted.close","expiration","strike","call.put","style","ask","bid","settlement.price","iv","iv.interpolated","volume","open.interest","delta","vega","gamma","theta","sentiment"
"1",2020-12-18,"CL","LO2","CL/21G.NX","NYMEX",2021-01-20,49.24,"01/08/2021",12.5,"C","A",0,0,36.75,2.113369,2.113369,0,0,0.998452,0.000593,0.000201,-0.00285,-0.0201991912542423
"2",2020-12-17,"CL","LO2","CL/21G.NX","NYMEX",2021-01-20,48.54,"01/08/2021",12.5,"C","A",0,0,36.05,2.051362,2.051362,0,0,0.998388,0.000621,0.000212,-0.002756,-0.0214669555998537
"3",2020-12-16,"CL","CL","CL/21F.NX","NYMEX",2020-12-21,47.82,"12/16/2020",0.5,"C","A",0,0,47.32,-1,-1,0,0,0,0,0,0,-0.0231927501906689
"4",2020-12-15,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,47.62,"12/15/2020",37,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0248531121724716
"5",2020-12-14,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,46.99,"12/14/2020",36.5,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0239594832013679
"6",2020-12-11,"CL","LO2","CL/21F.NX","NYMEX",2020-12-21,46.57,"12/11/2020",7.5,"C","A",0,0,39.07,-1,-1,0,0,0,0,0,0,-0.0162884986914348
"7",2020-12-10,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,46.78,"12/10/2020",35.5,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0240768285003052
"8",2020-12-09,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.52,"12/09/2020",35.5,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0314953757636911
"9",2020-12-08,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.6,"12/08/2020",35.75,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0379888932143363
"10",2020-12-07,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.76,"12/07/2020",36.25,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0375403450810428
"11",2020-12-04,"CL","LO1","CL/21F.NX","NYMEX",2020-12-21,46.26,"12/04/2020",2.5,"C","A",0,0,43.76,-1,-1,0,0,0,0,0,0,-0.0244972764120376
"12",2020-12-03,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.64,"12/03/2020",35.25,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0265510401276063
"13",2020-12-02,"CL","LO1","CL/21F.NX","NYMEX",2020-12-21,45.28,"12/04/2020",2.5,"C","A",0,0,42.79,-1,2.424619,0,0,1,0,0,0,-0.0201493926392241
"14",2020-12-01,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,44.55,"12/01/2020",35.25,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0198611612786743
"15",2020-11-30,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.34,"11/30/2020",35.5,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0229728780018261
"16",2020-11-27,"CL","LO4","CL/21F.NX","NYMEX",2020-12-21,45.53,"11/27/2020",2.5,"C","A",0,0,43.03,-1,-1,0,0,0,0,0,0,-0.0222459192778883
"17",2020-11-25,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,45.71,"11/25/2020",35,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0222583496233222
"18",2020-11-24,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,44.91,"11/24/2020",33,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0226013486760193
"19",2020-11-23,"CL","ICD","CL/21F.NX","NYMEX",2020-12-21,43.06,"11/23/2020",32.5,"C","E",0,0,0,-1,-1,0,0,0,0,0,0,-0.0213507406694111
"20",2020-11-20,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,42.42,"11/20/2020",2.5,"C","A",0,0,39.92,-1,-1,0,0,0,0,0,0,-0.0268163385738386
"21",2020-11-19,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,41.9,"11/20/2020",2.5,"C","A",0,0,39.41,-1,2.453799,0,0,1,0,0,0,-0.0260054375608056
"22",2020-11-18,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,42.01,"11/20/2020",2.5,"C","A",0,0,39.52,-1,2.434346,0,0,1,0,0,0,-0.0280896108917668
"23",2020-11-17,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,41.65,"11/20/2020",2.5,"C","A",0,0,39.16,-1,2.186318,0,0,1,0,0,0,-0.0353232939053088
"24",2020-11-16,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,41.57,"11/20/2020",2.5,"C","A",0,0,39.08,-1,2.248325,0,0,1,0,0,0,-0.0392827721701905
"25",2020-11-13,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,40.4,"11/20/2020",2.5,"C","A",0,0,37.91,-1,2.281152,0,0,1,0,0,0,-0.0328764362009474
"26",2020-11-12,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,41.41,"11/20/2020",2.5,"C","A",0,0,38.92,-1,2.189966,0,0,1,0,0,0,-0.0283244326642501
"27",2020-11-11,"CL","LO4","CL/21F.NX","NYMEX",2020-12-21,41.74,"11/27/2020",2.5,"C","A",0,0,39.25,-1,2.152275,0,0,1,0,0,0,-0.0353705601324674
"28",2020-11-10,"CL","LO3","CL/21F.NX","NYMEX",2020-12-21,41.67,"11/20/2020",2.5,"C","A",0,0,39.18,-1,2.306685,0,0,1,0,0,0,-0.0432796175935448
